Código do Município,POP_TOT - População total do município do ano de referência (Fonte: IBGE):,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG004 - Quantidade de ligações ativas de água micromedidas,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG008 - Volume de água micromedido,AG010 - Volume de água consumido,AG011 - Volume de água faturado,AG012 - Volume de água macromedido,AG024 - Volume de serviço,AG026 - População urbana atendida com abastecimento de água,AG028 - Consumo total de energia elétrica nos sistemas de água,IN001 - Densidade de economias de água por ligação,IN002 - Índice de produtividade: economias ativas por pessoal próprio,IN003 - Despesa total com os serviços por m3 faturado,IN008 - Despesa média anual por empregado,IN009 - Índice de hidrometração,IN010 - Índice de micromedição relativo ao volume disponibilizado,IN011 - Índice de macromedição,IN012 - Indicador de desempenho financeiro,IN013 - Índice de perdas faturamento,IN018 - Quantidade equivalente de pessoal total,IN020 - Extensão da rede de água por ligação,IN022 - Consumo médio percapita de água,IN023 - Índice de atendimento urbano de água,IN026 - Despesa de exploração por m3 faturado,IN028 - Índice de faturamento de água,IN029 - Índice de evasão de receitas,IN030 - Margem da despesa de exploração,IN031 - Margem da despesa com pessoal próprio,IN032 - Margem da despesa com pessoal total (equivalente),IN033 - Margem do serviço da divida,,IN035 - Participação da despesa com pessoal próprio nas despesas de exploração,IN036 - Participação da despesa com pessoal total (equivalente) nas despesas de exploração,IN037 - Participação da despesa com energia elétrica nas despesas de exploração,IN038 - Participação da despesa com produtos químicos nas despesas de exploração (DEX),IN039 - Participação das outras despesas nas despesas de exploração,IN044 - Índice de micromedição relativo ao consumo,IN045 - Índice de produtividade: empregados próprios por 1000 ligações de água,IN048 - Índice de produtividade: empregados próprios por 1000 ligações de água + esgoto,IN049 - Índice de perdas na distribuição,IN050 - Índice bruto de perdas lineares,IN051 - Índice de perdas por ligação,IN052 - Índice de consumo de água,IN055 - Índice de atendimento total de água,IN058 - Índice de consumo de energia elétrica em sistemas de abastecimento de água,IN060 - Índice de despesas por consumo de energia elétrica nos sistemas de água e esgotos,IN076 - Incidência das análises de turbidez fora do padrão,IN080 - Índice de conformidade da quantidade de amostras - turbidez,IN083 - Duração média dos serviços executados,IN101 - Índice de suficiência de caixa,IN102 - Índice de produtividade de pessoal total (equivalente)
250300,21828,4749,1244,252,"21,75","155,46","33,18","148,93","155,46",0,0,4140,"160,49",1,"151,94","1,72","19457,23","21,55","21,34",0,"132,24",0,"11,23","12,51","81,79","22,01","1,62",100,"16,37","71,09","44,05","61,84",0,"8,23","61,97","86,99",0,"1,11","11,58","22,28","6,58","6,58","4,2","0,82","14,72","95,8","21,76","1,03",0,0,100,"0,3","129,17","108,23"
420880,20024,5252,4073,4073,"67,14","373,02","262,68","262,68","572,4","373,02",0,3083,"164,49","1,05","390,45","3,56","42701,56",100,"70,42",100,"128,36","-53,45","18,53","15,61","137,03","20,17","3,24","153,45","4,91","70,96","17,98","30,29","4,56","17,46","25,33","42,69","7,17","2,67","24,6",100,"2,7","2,7","29,58","4,5","74,22","70,42","26,23","0,44","0,81",0,"139,87",2,"130,09","219,75"
432340,4358,4353,1908,1908,"104,02","170,9",160,160,196,0,0,2319,342,1,"953,25","3,21","64407,76",100,"93,62",0,"81,29","-14,69","4,17","54,56","100,7","99,87","2,89","114,69",0,"110,76","25,15","52,37","8,94",0,"22,71","47,29","52,71",0,0,100,"1,05","1,05","6,38","0,29","15,67","93,62","99,89",2,"0,87",0,100,1,"83,54","457,49"
210255,14374,14374,3671,271,50,2940,38,2940,1126,0,,11419,600,"1,01","155,81","1,88","41871,78","6,76","1,29",0,"98,87","61,7","32,28","10,71","563,41",100,"1,88","38,3",0,"101,14","46,94","64,48",0,"14,33","46,41","63,75","21,83","0,25","14,17","1,29","6,45","6,45",0,0,0,100,100,"0,2","0,77",0,100,"1,04","98,87","112,8"
420075,1937,1200,350,350,28,"77,71","61,2","61,2","61,2","77,71",0,584,0,1,"339,5","2,4","45064,38",100,"78,75",100,"99,7","21,25","2,19","75,07","139,73",100,"2,4","78,75",0,"100,3","30,82","67,36",0,0,"30,73","67,16","31,44","1,4",0,100,"2,95","2,95","21,25","1,62","133,23","78,75","61,95",0,,0,100,"1,2","99,7","155,34"
220045,5419,4519,1306,0,"37,4",492,0,457,410,492,0,1950,48,"1,1","284,7","0,56",27800,0,0,100,"79,86","16,67","5,04","13,57","280,07","98,29","0,45","83,33","-1,06","100,54","75,54","76,11",0,"2,19","75,14","75,7","18,78","2,65","2,18",0,"3,87","3,87","7,11","2,71","74,22","92,89","83,39","0,1","0,72","8,89",100,"2,18","101,31","256,46"
430258,2123,2123,718,718,"10,5",220,206,206,"43,03",0,,607,"45,49","1,01",716,"2,61","28753,55",100,"93,64",0,"59,93","80,44","2,87","14,44","265,09",100,"2,61","19,56",0,"166,86","42,77","122,85",0,0,"25,63","73,62","26,38",0,0,100,"1,41","1,41","6,36","3,65","54,06","93,64",100,"0,21","0,65",0,100,"2,67","59,93",247
430471,8270,7950,2700,2092,118,574,340,480,340,0,"0,1",1158,"762,27",1,875,"2,95","81663,52","76,99","59,24",0,"110,38","40,76","4,77","35,83","166,33","96,74","2,95","59,24",0,"90,6","22,16","35,23",0,0,"24,46","38,89","61,11",0,0,"70,83","1,14","1,14","16,36","2,19",98,"83,64","96,13","1,33","0,8",0,"109,26","0,21","110,38","550,37"
230185,18197,9780,3101,3075,33,"472,65","262,69","366,75","472,65",0,0,9120,"285,52",1,"504,42","2,05","83264,57","99,12","55,58",0,"107,03",0,"8,81","7,38","103,8","99,14","2,05",100,0,"93,43","48,08","70,59",0,0,"51,46","75,56","19,41","4,06",0,"71,63","1,98","1,98","22,41","10,36","95,9","77,59","53,75","0,6","0,66","1,22",95,"1,23","107,03","343,44"
250870,4009,1565,918,1,"6,98",86,0,85,86,0,1,1565,"7,2",1,"306,33","1,99",17200,"0,11",0,0,"99,88",0,"3,09","7,35","148,8",100,"1,17",100,"37,14","59,06","30,18","31,05",0,"4,04","51,09","52,57","5,94","4,95","6,83",0,"3,27","3,27","1,16","0,39","2,98","98,84","39,04","0,08","0,83","8,33",100,"1,5","130,69","297,36"
210542,26000,25590,5152,684,45,1019,"123,1",795,813,0,0,18447,1192,1,"233,14","1,69","31748,84","13,34","12,08",0,"139,77","20,22",22,"7,13","85,11",100,"1,69","79,78",0,"71,55","36,38","36,38",0,0,"50,85","50,85","42,93","0,65",0,"15,48","4,29","4,29","21,98","13,64","119,66","78,02","98,42","1,17","0,49",0,100,"1,75","139,77","233,11"
430745,2926,2926,1395,1376,77,98,70,75,70,0,0,755,409,"1,01","463,83","11,12","38445,56","96,28","71,43",0,"60,94","28,57","10,77","44,17","69,71",100,"11,12","71,43","6,22","164,08","24,32","87,28",0,0,"14,82","53,19","46,81",0,0,"93,33","2,17","2,17","23,47","0,83","45,51","76,53",100,"4,17","0,89",0,"95,83","1,89","57,16","128,61"
231050,43258,14021,6389,4617,89,"886,25",0,"878,05","878,05",0,0,14021,"310,55",1,"209,49","1,86","30112,39","71,57",0,0,"145,89","0,93","40,39","8,17",161,"55,4","1,86","99,07","13,24","68,54","41,18","51,19",0,"6,35","60,08","74,68","12,29","2,53","9,26",0,"4,77","4,77","0,93","0,25","3,3","99,07","32,41","0,35","0,64","13,34","27,94",2,"129,07","168,55"
431505,2374,2374,700,700,33,153,150,150,150,0,0,891,175,1,689,"1,07",35000,100,"98,04",0,"204,56","1,96","1,6","44,27","172,89",100,"1,07","98,04",0,"48,89","10,67","17,07",0,0,"21,82","34,91","55,57","9,52",0,100,"1,45","1,45","1,96","0,25","11,93","98,04",100,"1,14","0,51",0,"108,33",10,"204,56","430,62"
210663,16745,4250,841,21,"13,64",0,"9,85","138,98","138,98",0,0,4250,"730,89",1,"109,07","11,25","171962,81","2,57","2,77",0,"39,71","60,98","7,5","17,52","92,28","74,82","10,51","39,02","39,71","235,18","207,69","207,69",0,0,"88,31","88,31","11,69",0,0,"7,09","9,18","9,18","60,98","23,69","728,49","39,02","25,38","2,05","0,23",0,"162,5","65,85","25,8","108,93"
210675,28381,541,4026,12,"30,93",0,"1,04","984,36","734,36",0,0,541,"458,95",1,"807,6","1,54","146507,43","0,29","0,11",0,"6,67","25,77","5,07","7,54","307,14","2,39","1,45","74,23","74,25","1410,21","970,4","984,87",0,0,"68,81","69,84","30,16",0,0,"0,11","1,24","1,24","0,49","0,38","3,32","99,51","1,91","0,46","0,7",0,"106,5","78,77","1,86","794,36"
130395,14020,13685,1897,306,52,500,"67,4",418,"416,36",0,,7049,354,1,"316,17","1,8","23252,35","16,13","13,48",0,"63,46","16,73","9,35","19,87","83,68","91,17","1,8","83,27",0,"157,58","29,36","45,75",0,0,"18,63","29,03","63,02","0,27",0,"16,12","3,16","3,16","16,4","4,32","118,43","83,6","97,61","0,71","1,33",0,100,"0,11","63,46","202,88"
420127,4267,2100,700,700,35,117,95,95,98,0,,1330,100,1,"234,17","3,24","22841,33",100,"81,2",0,"121,91","16,24","4,67","49,82","141,84",100,"2,14","83,76",0,"54,26","17,69","27,57",0,0,"32,6","50,8","31,36","0,81",0,100,"4,29","4,29","18,8","1,72","86,11","81,2","49,21","0,85","0,66",0,100,"1,43","184,3","149,75"
420165,2240,1300,400,400,55,95,91,91,91,95,,497,0,1,"192,5","1,32",30000,100,"95,79",100,"141,08","4,21",2,"130,95","191,78",100,"1,32","95,79",0,"70,59","35,29","35,29",0,0,50,50,"47,5","2,5",0,100,"5,19","5,19","4,21","0,2","28,46","95,79","58,04",0,,0,100,"2,54","141,08","192,5"
510779,5174,2755,950,950,10,58,5,50,50,25,,2587,0,1,950,"6,09","39305,88",100,"8,62","43,1","36,84","13,79","2,66","10,11","49,77","88,57","6,09","86,21",100,"271,46","35,03","93,27",0,0,"12,9","34,36","62,55","3,1",0,10,"1,05","1,05","13,79","2,19","23,07","86,21","53,25",0,,0,"240,74",4,0,"356,79"
510627,4004,2379,742,742,"32,5","249,13","224,23","224,23","224,23",0,,1225,"125,35",1,"123,67","1,97","35697,9",100,"90,01",0,"86,89","9,99","9,55","36,23","258,23","64,54","1,97","90,01",0,"115,09","55,7","88,65",0,0,"48,39","77,03","18,88","4,09",0,100,"8,09","8,09","9,99","2,1","91,94","90,01","59,42","0,5","0,67",0,"111,66","1,77","86,89","77,69"
432285,1815,1815,310,310,3,129,125,125,125,0,0,373,125,1,306,"1,45",35000,100,"96,9",0,"55,41","3,1","1,6","6,54","187,65",100,"1,45","96,9",0,"180,47","34,74","55,59",0,0,"19,25","30,8","67,55","1,65",0,100,"3,27","3,27","3,1","5,48","35,81","96,9",100,"0,97","0,98","8,33",100,"2,67","55,41","191,25"
421835,3929,2042,920,920,21,20,"10,02",18,18,0,0,2042,0,1,"137,57","25,7","28528,55","94,74","50,1",0,"93,28",10,"12,94","19,88","27,84",100,"25,7",90,0,"107,2","46,27","85,55",0,"14,76","43,16","79,8","4,66","1,77","13,77","55,67","7,29","7,29",10,"0,27","5,71",90,"51,97",0,,0,100,"3,12","97,91","74,17"
431477,3904,3502,1168,1168,12,83,80,80,80,0,,1500,139,1,385,"3,56","16666,67",100,"96,39",0,"66,6","3,61",6,"9,96","64,86","95,06","3,56","96,39",0,"150,16","26,34","52,69",0,0,"17,54","35,09","45,61","19,3",0,100,"2,6","2,6","3,61","0,71","7,12","96,39","89,7","1,67","0,94",0,100,"6,02","66,6","192,5"
240760,4601,2443,691,678,"16,53","164,31","61,29","62,72","97,21",0,0,2418,"1033,88","1,01","275,8","6,89","86299,84","98,17","37,3",0,"61,77","40,84","2,5","12,47","71,32","60,5","7,37","59,16","0,17","173,22","52,17","52,17","2,26",0,"30,12","30,12","61,94","1,86",0,"97,72","3,65","3,65","61,83","18,14","406,91","38,17","53,1","6,29","0,43",,0,"212,97","65,16","273,6"
170220,35761,20000,7369,5088,72,"2366,4","827,14","938,35","1071,6",0,"9,6",17000,1368,1,"272,93","2,06","26348,67","69,05","35,1",0,"117,32","54,53","44,96","7,51","128,54","73,97","1,95","45,47",0,"80,72","27,47","45,73","0,12",0,"34,03","56,66","37,13","6,21",0,"88,15","3,66","3,66","60,19","53,97","527,37","39,81","55,93","0,58","0,57",0,100,0,"117,32","163,91"
270530,5329,2348,607,601,"6,21",0,"59,01","62,15","77,53",0,0,2248,"139,43","1,01",578,"3,31","115515,43","97,2","65,96",0,"172,17","13,34","1,21","7,85","77,26","98,81","2,78","86,66","-21,8","48,83","26,16","31,64",0,0,"53,58","64,79","33,75",0,0,"94,95","1,75","1,75","30,53","12,05","131,04","69,47","44,06","1,56","0,52","8,33",80,"0,3","231,48","472,22"
110120,9660,2869,806,805,"17,24","268,03","107,5","107,65","120,52",0,0,2869,"107,63","1,01","162,2","4,25","83188,31","99,44","40,11",0,"116,18","55,03",5,"13,23","102,91",100,"4,17","44,97","-0,3","84,45","69,95","69,95",0,0,"82,83","82,83","6,06",0,0,"99,86","6,23","6,23","59,84","25,49","547,19","40,16","29,7","0,4","0,28","15,15","82,5","0,32","122,19","160,6"
432145,33232,24132,7794,7794,"248,5",2400,2163,2163,2245,0,0,19319,2430,"1,02","779,9","0,91","36445,75",100,"90,12",0,"182,35","6,46","33,7","22,42","266,57","67,98","0,91","93,54",0,"54,49","9,74","32,83",0,0,"17,88","60,25","31,88","6,03",0,100,"1,3","1,3","9,87","2,62","84,53","90,12","72,62","1,01","0,27",0,100,"0,44","183,88","227,94"
270500,25216,9520,2397,2044,51,0,"245,53","548,37","317,7",0,"6,33",5292,"2496,79","1,08","386,77","7,08",114380,"87,82","52,63",0,"78,72","58,35","8,18","14,69","74,47","91,35","6,47","41,65","-3,61","116,15","42,01","52,86",0,0,"36,17","45,51","53,86",0,0,"97,42","2,78","2,78","28,11","11,87","251,45","71,89","37,75","3,25","0,44",0,"196,67","0,47","83,64","285,74"
270160,17722,5501,1659,1486,23,0,"162,53","184,68","217,4",0,"2,07",5501,"1224,43","1,01",1698,"4,02","117647,03","89,35","69,3",0,"133,42","7,31","2,16","9,12","90,49","96,68","3,88","92,69","-12,7","72,44","10,09","21,81",0,0,"13,93","30,11","68,94",0,0,"88,01","0,59","0,59","21,26","5,94","81,07","78,74","31,04","5,17","0,48",0,"136,67","0,47","155,59","779,56"
110175,11204,1282,380,349,"21,15","126,92","43,07","46,33","53,36",0,0,1282,"75,82","1,01","121,33","7,26","111208,12","93,08","33,93",0,"82,55","57,96",3,"21,3","104,47","33,64","7,25","42,04","20,06","121,11","104,37","104,37",0,0,"86,18","86,18","5,99",0,0,"92,96","8,3","8,3","63,5","10,44","610,77","36,5","11,44","0,6","0,31","24,53","88,33","0,49","68,73","120,5"
431267,1682,1682,1010,970,11,144,142,143,144,0,0,622,437,"1,01",505,"3,96","31742,93",96,"98,61",0,"82,95",0,"3,97","10,4","232,51",100,"3,96",100,"-12,57","120,56","13,42","26,67",0,"13,47","11,13","22,12","66,71",0,"11,17","99,3",2,2,"0,69","0,26","2,74","99,31",100,"3,03","0,87",0,100,"0,67","93,38","251,64"
510263,35360,35150,11531,11530,"183,29",6520,3350,3630,3680,0,110,32266,1700,1,"1411,75","0,71","46594,57","99,98","52,26",0,"180,34","42,59","16,27","14,16","285,34","98,36","0,71","57,41",0,"55,45","7,91","16,08",0,0,"14,26","28,99","65,12","5,89",0,"92,29","0,71","0,71","43,37","44,21","675,49","56,63","99,41","0,26",1,0,100,1,"180,34","693,2"
510268,6891,5367,1925,1925,"40,5","494,59","494,59","494,59","494,59",0,0,5367,790,1,"374,2","2,11","42553,79",100,50,0,"104,49",50,5,"21,22","224,4",100,"1,22",50,"29,85","55,23","19,52","19,52",0,0,"35,34","35,34","63,07","1,59",0,100,"2,67","2,67",50,"33,67","724,23",50,"77,88","0,8","0,48",0,520,1,"127,01","374,2"
510880,4519,3038,1371,1371,63,223,198,198,220,0,0,1602,172,1,"192,29","2,73","42455,62",100,"88,79",0,"95,29","1,35","8,87","36,54","178,91","90,1","2,7","98,65",0,"103,86","51,94","65,81",0,0,"50,01","63,36","29,39","6,12",0,100,"5,2","5,2","11,21","1,09","50,89","88,79","67,23","0,77","1,02",0,100,"1,03","112,08","151,75"
421915,2477,2477,501,500,"5,7",180,71,72,72,0,0,790,260,1,"167,67","3,38","20878,27","99,8","39,44",0,"23,95",60,"3,96","11,35","82,41",100,"3,38",40,0,"417,48","107,32","141,59",0,0,"25,71","33,92","64,85","1,23",0,"98,61","5,99","5,99",60,"51,91","590,6",40,100,"1,44","0,61","2,22",100,"1,09","23,95","126,58"
431238,2548,2548,983,983,154,"180,6","135,4",152,"180,6",0,0,735,"189,6",1,"491,5","4,59",16676,100,"74,97",0,"82,28",0,"10,1","156,66","163,44",100,"4,59",100,"8,66","121,53","4,89","24,69",0,"15,42","4,02","20,32","66,17",0,"12,69","89,08","2,03","2,03","15,84","0,51","79,71","84,16",100,"1,05","2,89",0,100,"1,34","75,16","97,34"
210095,32701,6894,1665,5,"33,29","1045,03","2,42","303,08","303,08",0,0,6894,"344,09","1,01",1874,"4,64","498606,47","0,16","0,23",0,"77,22",71,"1,39","13,07","107,26","53,25","3,06",29,"57,78","85,51","45,9","63,87","33,42",0,"53,68","74,69","24,43","0,89",0,"0,8","0,54","0,54",71,"61,06","1090,53",29,"21,08","0,33","0,66",0,100,"2,2","33,8","1339,74"
430057,3028,2555,903,896,80,105,91,100,91,0,0,847,"406,33","1,01","299,17","7,53","25468,37","99,21","86,67",0,"79,48","13,33","15,11","72,43","107,34",100,"7,53","86,67",0,"125,82","14,03","70,64",0,0,"11,15","56,15","39,4","4,46",0,91,"3,37","3,37","4,76","0,17","15,37","95,24","84,38","3,87","0,66",0,100,"2,64","92,57","59,01"
431595,2323,2323,749,369,121,153,125,128,125,0,0,555,130,"1,15","289,5","1,91","38365,06","49,5","81,7",0,"27,61","18,3","4,4","150,22","150,03",100,"1,91","81,7","15,34","362,19","174,32","255,56",0,0,"48,13","70,56","29,44",0,0,"97,66","3,99","3,99","16,34","0,57","91,02","83,66",100,"0,85","0,54",0,100,"2,85","27,61","171,1"
431275,3625,3625,1060,1060,"107,2","156,9","145,3","145,3","145,3",0,0,1517,"521,9",1,"726,33","5,83","49729,67",100,"92,61",0,"86,49","7,39","4,1","96,7","110,41",100,"5,83","92,61",0,"115,61","10,19","27,82",0,"27,21","8,81","24,06","52,4",0,"23,54",100,"1,38","1,38","7,39","0,3","29,17","92,61",100,"3,33","0,85",0,600,4,"101,58","265,91"
291210,21689,21689,8176,3486,"33,31",1653,"415,09",1285,"1222,27",0,0,15982,"415,98","1,18","869,55","1,42","43634,27","40,25","25,11",0,"1,38","26,06","34,36","3,05","161,11",100,"1,42","73,94",0,"7253,42","2007,85","6271,86",0,0,"27,68","86,47","10,85","2,68",0,"32,3","1,36","1,36","22,26","30,27","124,3","77,74",100,"0,25","0,45","4,35",100,"11,22","1,38","236,06"
210830,38470,4853,1188,1,"27,03","915,55","0,04","206,4","206,4",0,"58,25",4853,"338,31",1,"410,17","7,47","234958,87","0,04",0,0,"48,24","75,92","3,75","11,71","112,41","26,05","5,38","24,08","38,32","149,28","94,75","118,57","42,76",0,"63,47","79,43","19,92","0,65",0,"0,02","2,44","2,44","75,92","66,16","1449,24","24,08","12,62","0,37","0,65",0,"33,12","23,45","31,47","327,78"
270570,21688,19603,6085,6084,89,0,"601,86","606,02","812,28",0,"34,5",14899,"5729,85","1,02","3054,25","3,21","81137,02","99,36","35,21",0,"179,9","52,48","4,27","11,24","85,62",100,"3,17","47,52","-14,16","54,84","3,46","7,4",0,0,"6,31","13,49","85,09",0,0,"99,31","0,33","0,33","64,54","33,96","502,84","35,46","90,39","3,29","0,38",0,"115,56",26,"217,06","1406,25"
270340,5253,4880,1411,1402,"40,6",0,"154,54","155,44","194,94",0,"21,54",2942,"2948,27","1,04","1429,5","7,24","195634,86","99,53","20,37",0,"84,41","74,3","1,26","20,32","88,7",100,"7,03","25,7","-9,97","115,08","16,42","20,65",0,0,"14,27","17,95","81,43",0,0,"99,42","0,72","0,72","79,51","40,69","1196,35","20,49","92,9","3,78","0,38",0,"194,44",26,"100,73","1098,04"
270120,10858,2948,773,749,"36,1",0,"73,8","76,06","90,22",0,"27,3",2904,"570,16","1,02",742,"3,93","80745,35","96,91","54,84",0,"176,47","32,96","1,23","22,24","75,01","50,48","3,68","67,04","-33,66","53,11","12,91","15,86",0,0,"24,31","29,86","69,07",0,0,"97,03","1,38","1,38","43,48","4,44","220,53","56,52","27,15","3,52","0,4",0,375,26,"281,24","591,84"
270720,14386,3908,1025,1023,"26,2",0,"108,72","109,59","139,56",0,"1,2",2070,"1371,28","1,02",695,"6,13","154184,1","99,46","41,71",0,"100,28","46,45","1,74","18,37","76,36","97,69","5,78","53,55","-17,79","94,03","26,94","31,24",0,0,"28,65","33,22","65,96",0,0,"99,21","1,46","1,46","57,95","15,79","402,93","42,05","27,17","5,24","0,39",0,"391,67",26,"125,17","590,53"
270610,11496,3900,989,912,28,0,"68,76","75,64","91,1",0,"2,37",3652,"1023,13","1,01","1053,5","6,18","98659,18","92,03","34,11",0,"88,43","54,81","1,31","12,6","50,47","50,39","5,88","45,19","-16,39","107,52","19,82","25,99",0,0,"18,43","24,17","75,28",0,0,"90,9","0,96","0,96","62,48","12,32","331,29","37,52","33,92","5,02","0,39",0,"79,17",26,"107,06","794,13"
150275,33318,18657,1922,1783,23,618,234,400,500,417,0,17800,890,"2,95","377,4","0,4","8470,91","92,77","37,86","67,48",100,"19,09",15,"7,07","58,74","99,91","0,4","80,91",100,100,"63,53","63,53",0,"36,47","63,53","63,53",0,0,"36,47","58,5","7,8","7,8","35,28","25,97","310,75","64,72",56,"1,44",0,0,"122,58","27,22",0,"128,13"
241255,10282,1032,269,264,"3,1","123,4","30,48","31,32","41,75",0,0,0,"195,19",1,"274,5","4,98","43458,04","98,18","24,7",0,"66,77","66,17",1,"7,36","82,59",0,"5,52","33,83","18,91","166,01","31,33","31,33","2,28",0,"18,87","18,87","73,75","1,13",0,"97,32","3,64","3,64","74,62","97,59","919,03","25,38","10,04","1,58","0,87",0,100,144,"55,92","274,5"
431848,4804,4722,1638,1616,84,240,216,227,216,0,0,3081,338,1,"540,67","1,68","23793,35","98,64",90,0,"211,35",10,"4,03","49,88","132,62","99,26","1,68",90,0,"47,32","9,31","12,51",0,"0,81","19,68","26,43","66,02","5,82","1,72","95,15","1,85","1,85","5,42","0,43","21,96","94,58","98,29","1,41","0,71",0,100,"0,22","211,35","402,51"
270642,10533,7976,2276,2112,36,"4187,47","242,84","4561,53","309,12",0,"61,94",2869,"1104,88","1,02","329,86","4,58","78160,36","92,67","48,66",0,"133,75","93,58","9,53","11,41","85,11",100,"4,17","6,42","-5,19","68,02","28,89","39,32",0,0,"42,47","57,81","41,13",0,0,"99,14","3,1","3,1","5,28","19,89","308,58","94,72","75,72","0,23","0,48",0,"137,5","0,47","148,38","236,79"
210730,4683,1610,449,3,"9,45","403,41","0,08","65,82","65,82",0,24,1610,"124,34",1,"228,25","9,1","136832,75","0,44","0,02",0,"39,76","82,65","2,55","10,37","110,33","54,87","6,55","17,35","19,2","180,89","114,88","146,4","58,83",0,"63,51","80,93","18,33","0,74",0,"0,12","4,38","4,38","82,65","90,92","1882,04","17,35","34,38","0,31","0,64",,0,"0,2","34,76","179,12"
431515,6244,1889,876,876,48,470,170,180,170,"220,68",0,1889,0,"1,03","299,33","1,5","20217,28",100,"36,17","46,95","140,39","63,83","6,15","53,84","260,38","99,53","1,5","36,17",0,"71,23",17,"34,83",0,"19,53","23,86","48,9","23,68",0,"27,42","94,44","3,43","3,43","61,7","16,55","909,06","38,3","30,25",0,,"1,39",100,"0,34","140,39","142,16"
251260,1956,1013,311,293,"2,62","51,31","28,59","31,33","41,12",0,"2,57",729,0,"1,01",303,"5,29","156673,5","88,35","58,66",0,"81,51","15,63","1,03","7,02","87,9",100,"4,79","84,37","13,65","111,1","88,44","90,99","12,73","6,94","79,6","81,89",0,0,"6,24","91,25","3,33","3,33","35,72","18,63","158,73","64,28","51,79",0,,0,"83,33","0,52","72,49","292,09"
510190,19695,13750,3755,2042,72,963,293,885,684,963,50,12800,0,"1,12","685,92","1,36","61957,83","46,12","32,09",100,"143,2","25,08","8,53","17,22","186,94","99,43","1,36","74,92","28,76","69,83","27,99","39,79",0,0,"40,08","56,98","42,73","0,29",0,"33,11","1,63","1,63","3,07","1,08","20,86","96,93","69,81",0,,0,100,"0,78","102,02","431,11"
431675,6603,6603,2039,2039,140,368,0,197,197,368,0,3309,"677,51","1,14","380,5","2,73","27284,75",100,0,100,"197,69","46,47","6,53","60,33","82,24",100,"2,73","53,53","-1,5","50,58","15,41","16,78",0,"2,9","30,47","33,18","57,87","3,21","5,73",0,"2,99","2,99","46,47","3,35","233,55","53,53",100,"1,84","0,46",0,"94,44","1,18","216,97","306,99"
431642,2609,2609,435,415,40,50,35,"39,5",15,0,0,789,0,"1,01","437,5","3,38",26480,"95,4",70,0,"116,49",70,"1,08","77,78","41,45",100,"3,33",30,"-33,33","84,58","44,88","48,27",0,"0,54","53,07","57,07","28,06","14,03","0,64","88,61","2,3","2,3",21,"0,82","66,13",79,100,0,,100,100,2,"200,2","404,45"
130090,15629,10733,2160,2100,16,1700,550,600,800,0,1000,6056,37,"1,9",410,"0,4",9000,"97,22","78,57",0,"93,75","-14,29",10,"7,27","153,16","73,86","0,4","114,29","-3,33","106,67",30,30,"6,67","29,54","28,12","28,12","34,33",0,"27,7","91,67","4,63","4,63","14,29","17,12","126,84","85,71","68,67","0,02","2,97",,0,3,"91,18",216
210230,23884,15346,3969,181,"40,26","1872,97","27,27","609,95","609,95",0,48,15346,"753,48","1,01","1593,4","4,58","419211,65","3,91","1,49",0,"75,83","66,58","3,34","6,74","109,07","86,48","3,06","33,42","11,4","88,03","49,49","66,07","30,73",0,"56,21","75,05","24,16","0,79",0,"4,47","0,63","0,63","66,58","82,68","840,08","33,42","64,25","0,4","0,6",,0,4,"71,66","1187,21"
210180,5632,3064,1425,190,"14,88","855,47","22,37","206,01","206,01",0,36,2147,"274,52",1,"924,67","6,12","365463,35","11,72","2,73",0,"57,77","74,86","1,93","8,21","137,56","74,11","4,34","25,14","4,64","122,77","75,29","96,95","40,82",0,"61,33","78,97","20,28","0,75",0,"10,86","1,08","1,08","74,86","112,99","1212,64","25,14","54,4","0,32","0,66",,0,"6,33","58,25","717,63"
211195,5660,3345,933,208,"10,74","318,62","30,25","131,96","131,96",0,36,3345,"205,66",1,"209,44","5,51","80833,95","22,44","10,7",0,"63,57","53,31","5,22","7,73","106,95","95,24","4,24","46,69","16,83","120,91","78,68","91,35","23,94",0,"65,07","75,55",24,"0,45",0,"22,92","4,77","4,77","53,31","38,43","437,95","46,69","59,1","0,65","0,65",,0,"8,48","56,13","180,39"
210410,12631,1584,416,139,"11,69","189,87","16,87","63,94","63,94",0,24,1584,"144,57",1,"307,33","10,86","318905,63","32,57","10,17",0,"32,62","61,45","1,61","10,38","99,36","20,81","9,2","38,55","1,8","259,73","211,19","226,55","29,12",0,"81,31","87,22","12,52","0,25",0,"26,38","3,26","3,26","61,45","23,9","606,43","38,55","12,54","0,76","0,51",,0,16,"34,31","286,18"
211227,5840,992,265,1,"3,79","65,45","0,12","40,43","40,43",0,"11,7",992,0,1,"267,5","6,5","182326,06","0,37","0,22",0,"50,31","24,78","1,07","11,3","110,6","34,79","5,5","75,22","20,39","168,24","137,89","146,96","17,2",0,"81,96","87,35","12,42","0,23",0,"0,3","3,74","3,74","24,78",10,"136,42","75,22","16,99",0,,0,100,"26,52","42,05","250,99"
