Código do Município,POP_TOT - População total do município do ano de referência (Fonte: IBGE):,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG004 - Quantidade de ligações ativas de água micromedidas,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG008 - Volume de água micromedido,AG010 - Volume de água consumido,AG011 - Volume de água faturado,AG012 - Volume de água macromedido,AG024 - Volume de serviço,AG026 - População urbana atendida com abastecimento de água,AG028 - Consumo total de energia elétrica nos sistemas de água,IN001 - Densidade de economias de água por ligação,IN002 - Índice de produtividade: economias ativas por pessoal próprio,IN003 - Despesa total com os serviços por m3 faturado,IN008 - Despesa média anual por empregado,IN009 - Índice de hidrometração,IN010 - Índice de micromedição relativo ao volume disponibilizado,IN011 - Índice de macromedição,IN012 - Indicador de desempenho financeiro,IN013 - Índice de perdas faturamento,IN018 - Quantidade equivalente de pessoal total,IN020 - Extensão da rede de água por ligação,IN022 - Consumo médio percapita de água,IN023 - Índice de atendimento urbano de água,IN026 - Despesa de exploração por m3 faturado,IN028 - Índice de faturamento de água,IN029 - Índice de evasão de receitas,IN030 - Margem da despesa de exploração,IN031 - Margem da despesa com pessoal próprio,IN032 - Margem da despesa com pessoal total (equivalente),IN033 - Margem do serviço da divida,,IN035 - Participação da despesa com pessoal próprio nas despesas de exploração,IN036 - Participação da despesa com pessoal total (equivalente) nas despesas de exploração,IN037 - Participação da despesa com energia elétrica nas despesas de exploração,IN038 - Participação da despesa com produtos químicos nas despesas de exploração (DEX),IN039 - Participação das outras despesas nas despesas de exploração,IN044 - Índice de micromedição relativo ao consumo,IN045 - Índice de produtividade: empregados próprios por 1000 ligações de água,IN048 - Índice de produtividade: empregados próprios por 1000 ligações de água + esgoto,IN049 - Índice de perdas na distribuição,IN050 - Índice bruto de perdas lineares,IN051 - Índice de perdas por ligação,IN052 - Índice de consumo de água,IN055 - Índice de atendimento total de água,IN058 - Índice de consumo de energia elétrica em sistemas de abastecimento de água,IN060 - Índice de despesas por consumo de energia elétrica nos sistemas de água e esgotos,IN076 - Incidência das análises de turbidez fora do padrão,IN080 - Índice de conformidade da quantidade de amostras - turbidez,IN083 - Duração média dos serviços executados,IN101 - Índice de suficiência de caixa,IN102 - Índice de produtividade de pessoal total (equivalente)
170765,5263,4304,1662,1662,"45,46","234,92","181,41","181,41","233,59","234,91","2,54",3996,"175,23","1,02","373,22","13,2","94187,9",100,"78,07",100,"40,48","-0,52","5,96","22,5","115,75",100,"4,57","100,52","5,46","85,55","33,96","44,99","115,25","21,85","39,69","52,59","11,37","1,31","25,54",100,"2,74","2,74","21,93","3,07","85,07","78,07","81,78","0,75","0,69",0,"127,19","1,25","49,85","275,29"
430360,6431,2989,1256,1256,"21,2","234,48","151,76","152,96","141,24","234,48","15,96",2989,185,"1,13","232,67","11,99","153780,17",100,"69,45",100,"74,79","35,37","6,29","15,55","139,92",100,"10,18","64,63","11,61","113,44","72,82","76,33","0,49","13,82","64,19","67,29","9,21","3,28","12,18","99,22","4,84","4,84",30,"8,47","144,85",70,"46,48","0,79","0,72",0,"107,67","1,37","78,74","197,16"
171575,7659,6571,2710,2710,"47,86","489,4","313,9","313,9","397,01","489,4","8,85",6242,"320,46","1,04","397,57","5,98","94284,36",100,"65,32",100,"89,47","17,38","8,78","16,22","131,33",100,"3,9","82,62","-0,34","72,82","31,05","38,96","31,88","14,8","42,64","53,5","13,54","1,64","20,32",100,"2,62","2,62","34,68","9,54","171,19","65,32","85,79","0,65","0,65",0,"111,58","1,48","101,4","303,68"
170070,8412,7935,3084,3084,"94,18","495,8","361,54","361,54","457,63","495,8","6,49",7800,"335,95","1,03","416,6","4,96","91096,75",100,"73,89",100,"111,27","6,47","9,6","27,5","124,82",100,"3,74","93,53","1,92","67,79","27,05","34,61","11,67","14,98","39,9","51,06","13,92","0,6","22,11",100,"2,48","2,48","26,11","3,73","115,78","73,89","94,33","0,68","0,71",0,"106,96","1,48","132,27","315,07"
430495,3202,1584,624,624,"16,29","106,12","71,3","71,44","71,31","106,12","0,1",1584,76,"1,23",384,"9,83","164680,33",100,"67,25",100,"93,4","32,74","2,11","22,93","123,8",100,"7,65","67,26","3,83","83,26","50,28","53,02","0,52","11,04","60,39","63,67",11,"0,85","13,26","99,8","3,21","3,21","32,62","6,17","152,19","67,38","49,47","0,72","0,79",0,"97,12","1,58","103,66","295,2"
290260,20468,12740,4707,4707,"48,71","647,24","408,67","409,1","490,68","647,24","23,53",8508,"1599,34","1,01","852,27","6,22","140559,97",100,"65,52",100,"76,88","21,33","9,21","8,9","88,15",100,"5,35","78,67","4,62","111,95","32,95","55,2","1,52","10,36","29,43","49,31","27,2","5,52","9,25","99,89","1,18","1,18","34,41","12,07","126,68","65,59","62,24","2,47","0,45",0,"96,71","1,74","86,64","503,69"
290180,11798,8936,2964,2961,"74,07","371,15","274,32","275,09","318,96","354,58","9,03",6025,"2533,69","1,01","541,91","7,65","188256,76","99,9","75,75","95,54","61,2","11,92","7,22","21,75","84,7","97,27","5,67","88,08","3,77","121,19","69,37","91,08","1,54","7,73","57,24","75,15",7,"3,51","6,38","99,72","1,87","1,87","24,03","3,22","81,01","75,97","75,74","6,83","0,05",0,"102,49",2,"79,56","407,6"
521480,2210,2030,922,914,"15,94","137,3","110,01","111,6","110,34","136,84","1,18",2007,"151,41","1,02","117,06","13,51","117496,03","96,83","80,82","99,66","47,37","18,94","8,26","17,28","170,62",100,"12,71","81,06","1,65","198,66","133,13","137,38",0,"35,5","67,01","69,15","8,06","0,4","17,87","98,58","8,75","8,75","18,01","4,21","73,46","81,99","91,86","1,1","0,75","3,48","102,68","2,97","49,34","110,78"
520455,3804,2194,1135,1052,"17,28","162,2","115,3","115,75","119,71","162,2","1,39",2194,"169,28","1,04",146,"14,64","136210,42","92,9","71,7",100,"43,1","25,56","9,21","15,22","145,4",100,"13,89","74,44","-0,07","220,13","144,29","166,03",0,"27,78","65,55","75,42","7,28","0,25","12,62","99,61","7,15","7,15","28,02","7,14","110,32","71,98","57,68","1,04","0,71","7,14","106,25","3,19","45,62","121,56"
520940,3893,1729,814,812,"10,25","134,88","81,35","81,47","81,45","134,88","1,15",1612,"100,01","1,02","204,75","9,96","103327,76","99,88","60,83",100,"65,89","39,09","4,27","12,55","154,52",100,"9,3","60,91","-4,07","141,65","77,32","82,51",0,"29,45","54,58","58,25","13,17","1,19","20,79","99,85","4,97","4,97","39,08","13,97","177,86","60,92","44,41","0,74",1,"1,97","111,4","3,19","73,1","188,59"
520120,1149,1082,563,447,"7,93","70,1","55,65","56,98","55,66","70,1","0,6",1076,"116,69","1,06","298,75","10,15","88778,34","83,9","80,07",100,"65,28","19,91","2,49","13,23","145,42",100,"9,06","80,09","2,47","136,72","48,15","59,84",0,"43,02","35,22","43,77","17,83","0,41","31,47","97,67","3,56","3,56","18,01","4,33","61,03","81,99","94,17","1,66","0,77","14,6","99,12","3,32","70,58","226,11"
521720,10385,8873,4526,4417,"59,97","669,23","495,62","498,71","501,98","669,23","5,75",8362,"366,78","1,04","550,41","6,31","103245,59","97,41","74,7",100,"102,88","24,34","10,61","12,76","157,7",100,"5,71","75,66","-0,28","87,9","26,92","33,62",0,"34,92","30,63","38,24","9,66","1,03","39,73","99,38","1,89","1,89","24,83","7,53","100,33","75,17","85,44","0,55","0,75","1,89","97,55","3,63","111,9","423,93"
520725,7322,4827,2794,2777,"38,91","376,45","272,35","272,78","271,73","376,45","3,25",4561,"432,24","1,02","333,18","9,71","138695,78","99,69","72,98",100,"68,92","27,19","9,47","13,97","160,96",100,"8,67","72,81","2,77","129,64","64,86","72,27",0,"26,82","50,03","55,75","14,84","0,98","20,69","99,84","3,06","3,06","26,91","7,08","98,98","73,09","65,92","1,15","0,81","11,8","133,77","3,68","74,27","293,47"
522190,3827,2385,1228,1169,"15,35","154,02","115,71","116,43","119,72","153,99","1,33",2346,"90,75","1,05","257,3","9,78","125522,93","97,58","75,78","99,98","66,89","21,59","5,36","11,68","149,2",100,"8,92","78,41","-1,01","136,35","80,16","85,98",0,"30,46","58,79","63,06","5,91","1,8","22,34","99,38","4,1","4,1","23,75","6,47","81,43","76,25","62,32","0,59","0,7","6,27","126,99","3,98","73,01","227,48"
